approach,prevalence,recall,fpr,projected_precision,alerted_accounts_per_10k
B1 Amount threshold,0.001,0.053927315357561546,0.03620607787274454,0.0014887261049968898,362.23799110229356
B1 Amount threshold,0.005,0.053927315357561546,0.03620607787274454,0.007429092820888299,362.9468406016863
B1 Amount threshold,0.01,0.053927315357561546,0.03620607787274454,0.014822000701580209,363.8329024759271
B1 Amount threshold,0.02,0.053927315357561546,0.03620607787274454,0.029500313994294435,365.6050262244088
B1 Amount threshold,0.05,0.053927315357561546,0.03620607787274454,0.07269372396067338,370.92139746985396
B2 Amount + velocity,0.001,0.24384525205158264,0.039886039886039885,0.006082445935063592,400.89999098205425
B2 Amount + velocity,0.005,0.24384525205158264,0.039886039886039885,0.029805680095171764,409.058359468676
B2 Amount + velocity,0.01,0.24384525205158264,0.039886039886039885,0.05816137774782396,419.25632007695316
B2 Amount + velocity,0.02,0.24384525205158264,0.039886039886039885,0.11092642281734397,439.65224129350736
B2 Amount + velocity,0.05,0.24384525205158264,0.039886039886039885,0.2434362767000327,500.8400049431702
B3 Behavioural anomaly,0.001,0.19343493552168817,0.012939221272554606,0.014743834468094977,131.1971698680374
B3 Behavioural anomaly,0.005,0.19343493552168817,0.012939221272554606,0.06987398141288552,138.41699843800276
B3 Behavioural anomaly,0.01,0.19343493552168817,0.012939221272554606,0.13119410934711306,147.44178415045943
B3 Behavioural anomaly,0.02,0.19343493552168817,0.012939221272554606,0.23377044057577803,165.49135557537275
B3 Behavioural anomaly,0.05,0.19343493552168817,0.012939221272554606,0.44034527864995765,219.6400698501128
B4 Network / AML patterns,0.001,0.14536928487690504,0.045584045584045586,0.003182073006071995,456.83830823338445
B4 Network / AML patterns,0.005,0.14536928487690504,0.045584045584045586,0.01577255971785948,460.82971780509877
B4 Network / AML patterns,0.01,0.14536928487690504,0.045584045584045586,0.03120724813505072,465.8189797697418
B4 Network / AML patterns,0.02,0.14536928487690504,0.045584045584045586,0.061105526509386804,475.7975036990278
B4 Network / AML patterns,0.05,0.14536928487690504,0.045584045584045586,0.1437213541322696,505.7330754868856
B5a Integrated rules (>=2 families),0.001,0.16764361078546308,0.007003798670465337,0.02339940683321839,71.64438482580336
B5a Integrated rules (>=2 families),0.005,0.16764361078546308,0.007003798670465337,0.10736752882540139,78.06997731040326
B5a Integrated rules (>=2 families),0.01,0.16764361078546308,0.007003798670465337,0.19470357628610288,86.10196791615316
B5a Integrated rules (>=2 families),0.02,0.16764361078546308,0.007003798670465337,0.3281790307179509,102.16594912765292
B5a Integrated rules (>=2 families),0.05,0.16764361078546308,0.007003798670465337,0.5574819110116644,150.35789276215226
B5b Integrated risk score (top 1%),0.001,0.1406799531066823,0.0023741690408357074,0.05599258217928395,25.12474824901554
B5b Integrated risk score (top 1%),0.005,0.1406799531066823,0.0023741690408357074,0.22944196540031142,30.6569796116494
B5b Integrated risk score (top 1%),0.01,0.1406799531066823,0.0023741690408357074,0.37442496166411093,37.57226881494174
B5b Integrated risk score (top 1%),0.02,0.1406799531066823,0.0023741690408357074,0.5473624933669767,51.40284722152639
B5b Integrated risk score (top 1%),0.05,0.1406799531066823,0.0023741690408357074,0.7572021392937933,92.89458244128038
ML1 Logistic regression (unconstrained),0.001,0.5838218053927315,0.0013057929724596391,0.30917705209661983,18.883089848799113
ML1 Logistic regression (unconstrained),0.005,0.5838218053927315,0.0013057929724596391,0.6919987879325722,42.183730345609995
ML1 Logistic regression (unconstrained),0.01,0.5838218053927315,0.0013057929724596391,0.8187149704658544,71.30953096662358
ML1 Logistic regression (unconstrained),0.02,0.5838218053927315,0.0013057929724596391,0.9012298602832831,129.56113220865078
ML1 Logistic regression (unconstrained),0.05,0.5838218053927315,0.0013057929724596391,0.9592363337783694,304.31593593473235
ML2 Gradient boosting,0.001,0.3716295427901524,0.0007122507122507123,0.3430950150900198,10.831680043286141
ML2 Gradient boosting,0.005,0.3716295427901524,0.0007122507122507123,0.7239055650886852,25.66837172640221
ML2 Gradient boosting,0.01,0.3716295427901524,0.0007122507122507123,0.8405200985807768,44.21423633029729
ML2 Gradient boosting,0.02,0.3716295427901524,0.0007122507122507123,0.914150739938176,81.30596553808746
ML2 Gradient boosting,0.05,0.3716295427901524,0.0007122507122507123,0.9648647769768577,192.581153161458
ML3 Isolation Forest (unsupervised),0.001,0.04689331770222743,0.003442545109211776,0.013451914256981145,34.859958818047915
ML3 Isolation Forest (unsupervised),0.005,0.04689331770222743,0.003442545109211776,0.06406542826358468,36.59798972176854
ML3 Isolation Forest (unsupervised),0.01,0.04689331770222743,0.003442545109211776,0.12095093798356954,38.77052835141932
ML3 Isolation Forest (unsupervised),0.02,0.04689331770222743,0.003442545109211776,0.2175236415585321,43.11560561072089
ML3 Isolation Forest (unsupervised),0.05,0.04689331770222743,0.003442545109211776,0.4175656132932985,56.15083738862559
